!,consonant
{tlF:,lateral
{tlF*,consonant
{tlF*,affricate
{tlF*,laryngealized
{tlF*,voiceless
{tlF*,dental/alveolar
{tlF*,lateral
{tlF&,consonant
{tlF&,affricate
{tlF&,voiceless
{tlF&,dental/alveolar
{tlF&,lateral
{tlF&,ejective
{tlF&:,consonant
{tlF&:,affricate
{tlF&:,long
{tlF&:,voiceless
{tlF&:,dental/alveolar
{tlF&:,lateral
{tlF&:,ejective
{tlFh,consonant
{tlFh,affricate
{tlFh,voiceless
{tlFh,aspirated
{tlFh,dental/alveolar
{tlFh,lateral
{tlFW&,consonant
{tlFW&,affricate
{tlFW&,labialized
{tlFW&,voiceless
{tlFW&,dental/alveolar
{tlFW&,lateral
{tlFW&,ejective
{tlFWh,consonant
{tlFWh,affricate
{tlFWh,labialized
{tlFWh,voiceless
{tlFWh,aspirated
{tlFWh,dental/alveolar
{tlFWh,lateral
{ts,consonant
{ts,affricate
{ts,0voiceless
{ts,dental/alveolar
{ts,sibilant
{ts:,consonant
{ts:,affricate
{ts:,long
{ts:,voiceless
{ts:,dental/alveolar
{ts:,sibilant
{ts*,consonant
{ts*,affricate
{ts*,laryngealized
{ts*,voiceless
{ts*,dental/alveolar
{ts*,sibilant
{ts&,consonant
{ts&,affricate
{ts&,voiceless
{ts&,dental/alveolar
{ts&,sibilant
{ts&,ejective
{ts&:,consonant
{ts&:,affricate
{ts&:,long
{ts&:,voiceless
{ts&:,dental/alveolar
{ts&:,sibilant
{ts&:,ejective
{tsh,consonant
{tsh,affricate
{tsh,voiceless
{tsh,aspirated
{tsh,dental/alveolar
{tsh,sibilant
{tshh,consonant
{tshh,affricate
{tshh,voiceless
{tshh,dental/alveolar
{tshh,sibilant
{tshh,with
{tshh,breathy
{tshh,release
{tsJ,consonant
{tsJ,affricate
{tsJ,palatalized
{tsJ,voiceless
{tsJ,dental/alveolar
{tsJ,sibilant
{tsW:,consonant
{tsW:,affricate
{tsW:,long
{tsW:,labialized
{tsW:,voiceless
{tsW:,dental/alveolar
{tsW:,sibilant
{tsW&,consonant
{tsW&,affricate
{tsW&,labialized
{tsW&,voiceless
{tsW&,dental/alveolar
{tsW&,sibilant
{tsW&,ejective
{tsWh,consonant
{tsWh,affricate
{tsWh,labialized
{tsWh,voiceless
{tsWh,aspirated
{tsWh,dental/alveolar
{tsWh,sibilant
{tW,consonant
{tW,plosive
{tW,labialized
{tW,voiceless
{tW,dental/alveolar
{tWh,consonant
{tWh,plosive
{tWh,labialized
{tWh,voiceless
{tWh,aspirated
{tWh,dental/alveolar
{z,consonant
{z,fricative
{z,voiced
{z,dental/alveolar
{z,sibilant
{z9,consonant
{z9,fricative
{z9,pharyngealized
{z9,voiced
{z9,dental/alveolar
{z9,sibilant
{zJ,consonant
{zJ,fricative
{zJ,palatalized
{zJ,voiced
{zJ,dental/alveolar
{zJ,sibilant
{zW,consonant
{zW,fricative
{zW,labialized
{zW,voiced
{zW,dental/alveolar
{zW,sibilant
@,vowel
@,atr
@:,vowel
@:,LONG
@:,atr
@),vowel
@),atr
@),rounded
@)~,vowel
@)~,nasal
@)~,atr
@)~,rounded
@~,vowel
@~,nasal
@~,atr
@~:,vowel
@~:,LONG
@~:,nasal
@~:,atr
@i,diphthong
@i,mid
@i,central
@i,unrounded
@i,to
@i,high
@i,front
@i,unrounded
@u,diphthong
@u,mid
@u,central
@u,unrounded
@u,to
@u,high
@u,back
@u,rounded
@uu,diphthong
@uu,mid
@uu,central
@uu,unrounded
@uu,to
@uu,high
@uu,back
@uu,unrounded
/,consonant
/,click
/,voiceless
/,alveolar
/=,consonant
/=,click
/=,voiceless
/=,palatal
/=h,consonant
/=h,click
/=h,voiceless
/=h,aspirated
/=h,palatal
/=x,consonant
/=x,click
/=x,velar-fricated
/=x,voiceless
/=x,palatal
/h,consonant
/h,click
/h,voiceless
/h,aspirated
/h,alveolar
/s,consonant
/s,click
/s,voiceless
/s,alveolar
/s,affricated
/x,consonant
/x,click
/x,velar-fricated
/x,voiceless
/x,alveolar
/xh,consonant
/xh,click
/xh,velar-fricated
/xh,voiceless
/xh,aspirated
/xh,alveolar
#,consonant
#,click
#,voiceless
#,alveolar
#,lateral
#,affricated
#?,consonant
#?,click
#?,glottalized
#?,voiceless
#?,alveolar
#?,lateral
#?,affricated
#h,consonant
#h,click
#h,voiceless
#h,aspirated
#h,alveolar
#h,lateral
#h,affricated
#j,consonant
#j,click
#j,voiceless
#j,palatal
#j,lateral
#j,affricated
#jh,consonant
#jh,click
#jh,voiceless
#jh,aspirated
#jh,palatal
#jh,lateral
#jh,affricated
#jx,consonant
#jx,click
#jx,velar-fricated
#jx,voiceless
#jx,palatal
#jx,lateral
#jx,affricated
#xh,consonant
#xh,click
#xh,velar-fricated
#xh,voiceless
#xh,aspirated
#xh,alveolar
#xh,lateral
#xh,affricated
^,vowel
^,back
^~,vowel
^~,nasal
^~,back
^h,vowel
^h,slack
^h,spread
^h,back
|,consonant
|,click
|,voiceless
|,dental
|,affricated
|?,consonant
|?,click
|?,glottalized
|?,voiceless
|?,affricated
|?,dental
|h,consonant
|h,click
|h,voiceless
|h,aspirated
|h,dental
|h,affricated
|x,consonant
|x,click
|x,velar-fricated
|x,voiceless
|x,dental
|x,affricated
|xh,consonant
|xh,click
|xh,velarized
|xh,voiceless
|xh,aspirated
|xh,dental
|xh,affricated
0,consonant
0,fricative
0,voiceless
0,retroflex
0_,consonant
0_,fricative
0_,voiceless
0_,palato-alveolar
0D,consonant
0D,fricative
0D,voiceless
0D,dental
3,vowel
3:00,vowel
3:00,LONG
3),vowel
3),rounded
3~,vowel
3~,nasal
3i,diphthong
3i,lower
3i,mid
3i,central
3i,unrounded
3i,to
3i,high
3i,front
3i,unrounded
4,vowel
4,low
4_,vowel
4_,low
4_,back
4)_,vowel
4)_,low
4)_,back
4)_,rounded
4)S,vowel
4)S,SHORTENED
4)S,low
4)S,rounded
49,vowel
49,raised
49,low
4S,vowel
4S,SHORTENED
4S,low
6,consonant
6,fricative
6,voiced
6,alveolar
6_,consonant
6_,fricative
6_,voiceless
6_,palato-alveolar
6,consonant
6,fricative
6,voiced
6,retroflex
6D,consonant
6D,fricative
6D,voiced
6D,dental
6DJ,consonant
6DJ,fricative
6DJ,palatalized
6DJ,voiced
6DJ,dental
9,consonant
9,fricative
9,voiced
9,pharyngeal
99,consonant
99,plosive
99,voiced
99,pharyngeal
a,vowel
a,rtr
a,low
a_,vowel
a_,rtr
a_,low
a_,back
a_:,vowel
a_:,LONG
a_:,rtr
a_:,low
a_:,back
a_),vowel
a_),rtr
a_),low
a_),back
a_),rounded
a_):,vowel
a_):,LONG
a_):,rtr
a_):,low
a_):,back
a_):,rounded
a_)~,vowel
a_)~,nasal
a_)~,rtr
a_)~,low
a_)~,back
a_)~,rounded
a_)h,vowel
a_)h,slack
a_)h,spread
a_)h,rtr
a_)h,low
a_)h,back
a_)h,rounded
a_)S,vowel
a_)S,SHORTENED
a_)S,rtr
a_)S,low
a_)S,back
a_)S,rounded
a_~,vowel
a_~,nasal
a_~,rtr
a_~,low
a_~,back
a_~:,vowel
a_~:,LONG
a_~:,nasal
a_~:,rtr
a_~:,low
a_~:,back
a_O~,diphthong
a_O~,nasalized
a_O~,low
a_O~,back
a_O~,unrounded
a_O~,to
a_O~,lower
a_O~,mid
a_O~,back
a_O~,rounded
a:,vowel
a:,LONG
a:,rtr
a:,low
a.,vowel
a.,up
a.,rtr
a.,low
a*,vowel
a*,constricted
a*,rtr
a*,low
a+,vowel
a+,rtr
a+,low
a+,front
a+:,vowel
a+:,LONG
a+:,rtr
a+:,low
a+:,front
a+~,vowel
a+~,nasal
a+~,rtr
a+~,low
a+~,front
a+i,diphthong
a+i,low
a+i,front
a+i,unrounded
a+i,to
a+i,high
a+i,front
a+i,unrounded
a+i~,diphthong
a+i~,nasalized
a+i~,low
a+i~,front
a+i~,unrounded
a+i~,to
a+i~,high
a+i~,front
a+i~,unrounded
a~,vowel
a~,nasal
a~,rtr
a~,low
a~:,vowel
a~:,LONG
a~:,nasal
a~:,rtr
a~:,low
a~*,vowel
a~*,constricted
a~*,nasal
a~*,rtr
a~*,low
a9,vowel
a9,raised
a9,rtr
a9,low
a9:,vowel
a9:,LONG
a9:,raised
a9:,rtr
a9:,low
a9~,vowel
a9~,nasal
a9~,raised
a9~,rtr
a9~,low
a9~:,vowel
a9~:,LONG
a9~:,nasal
a9~:,raised
a9~:,rtr
a9~:,low
aa,vowel
aa,low
aa,front
aa:,vowel
aa:,LONG
aa:,low
aa:,front
aa~,vowel
aa~,nasal
aa~,low
aa~,front
aa9,vowel
